OBJECTID,Ohrozenie,Dátum,Poznámka,Druh ohrozenia,Ohrozenie detail,Hodina výskytu,Y,X
1,Medveď - vizuálny kontakt,2022-06-03 10:00:00,,Samec,,20,"49,24976374","22,01491843"
2,Medveď - vizuálny kontakt,2022-07-13 10:55:18,,Nedefinované,,,"48,98855018","19,90055973"
3,Medveď - pobytové znaky,2022-07-14 10:54:44,,Nedefinované,,Nedefinované,"48,95611408","20,00674147"
4,Medveď - pobytové znaky,2022-07-14 10:56:11,,Nedefinované,,Nedefinované,"48,93001732","20,04846014"
5,Medveď - vizuálny kontakt,2022-07-14 10:56:13,,Medvedica,,Nedefinované,"48,88733729","19,23484167"
6,Medveď - pobytové znaky,2022-07-14 10:57:56,,Trus,,Nedefinované,"48,88073057","19,24675234"
7,Medveď - pobytové znaky,2022-07-14 10:58:45,,Stopa,,Nedefinované,"48,87960691","19,26058579"
8,Medveď - vizuálny kontakt,2022-07-13 10:00:00,Turistický chodnik,Samec,,Nedefinované,"48,86961704","19,30124695"
9,Medveď - vizuálny kontakt,2022-07-14 10:24:41,"opakovane, brloh",Samec,,10,"48,8051113","18,78179123"
10,Medveď - vizuálny kontakt,2022-07-05 10:00:00,,Samec,,9,"48,85432954","18,95164554"
11,Medveď - vizuálny kontakt,2022-06-10 10:00:00,medvedica s 1 mladým,Medvedica s mladými,,11,"49,24435178","19,54080541"
12,Medveď - vizuálny kontakt,2022-05-12 10:00:00,mladý medveď do 100 kg,Samec,,10,"49,26946121","19,53232051"
13,Medveď - vizuálny kontakt,2022-07-08 10:00:00,,Samec,,7,"48,78196513","20,17011408"
14,Medveď - vizuálny kontakt,2022-07-09 10:00:00,,Samec,,18,"48,95430874","18,96183695"
15,Medveď - vizuálny kontakt,2022-06-16 10:00:00,50m,Samec,,7,"49,20986689","22,01312506"
16,Medveď - pobytové znaky,2022-06-23 10:00:00,"medvedica, pestúň, mláďatá",Stopa,,10,"48,79540276","18,6655784"
17,Medveď - vizuálny kontakt,2022-07-03 10:00:00,"V lokalite veľa turistov na prechádzke, medveď na zvážnici vo vzdialenosti približne 150m",Nedefinované,,16,"48,81828427","19,1287045"
18,Medveď - pobytové znaky,2022-05-19 10:00:00,,Trus,,9,"49,30541309","19,72147893"
19,Medveď - pobytové znaky,2022-05-25 10:00:00,,Trus,,10,"49,28770768","19,81054385"
20,Medveď - pobytové znaky,2022-06-16 10:00:00,,Trus,,9,"49,28016802","19,32200198"
21,Medveď - vizuálny kontakt,2022-06-13 10:00:00,,Samec,,21,"49,25993115","22,0259325"
22,Medveď - pobytové znaky,2022-07-07 10:46:07,,Nedefinované,,Nedefinované,"48,91470646","20,13812405"
23,Medveď - pobytové znaky,2022-07-05 10:00:00,,Nedefinované,,Nedefinované,"48,90481559","20,14289514"
24,Medveď - pobytové znaky,2022-07-07 10:47:36,,Nedefinované,,Nedefinované,"48,90198747","20,15315581"
25,Medveď - pobytové znaky,2022-07-03 10:00:00,,Nedefinované,,Nedefinované,"48,92427993","20,12963648"
26,Medveď - vizuálny kontakt,2022-07-07 10:49:34,celoročne - obťažuje ubytovaných na chate,Nedefinované,,Nedefinované,"48,9203301","20,09929377"
27,Medveď - pobytové znaky,2022-05-31 10:00:00,,Nedefinované,,Nedefinované,"48,9059989","20,09861269"
28,Medveď - pobytové znaky,2022-06-09 10:00:00,,Nedefinované,,Nedefinované,"48,90643138","20,07128648"
29,Medveď - pobytové znaky,2022-06-27 10:00:00,,Nedefinované,,Nedefinované,"48,91009123","20,03191642"
30,Medveď - pobytové znaky,2022-05-29 10:00:00,,Nedefinované,,Nedefinované,"48,91756736","20,04149638"
31,Medveď - vizuálny kontakt,2021-09-20 10:00:00,,Nedefinované,,Nedefinované,"48,92962727","20,06227692"
32,Medveď - pobytové znaky,2022-05-04 10:00:00,,Značkovacie stromy a vývratiská,,Nedefinované,"49,24044763","22,02053106"
33,Medveď - pobytové znaky,2022-06-09 10:00:00,,Trus,,Nedefinované,"49,30085285","19,30743117"
34,Medveď - pobytové znaky,2022-06-20 10:00:00,,Trus,,Nedefinované,"49,25413077","22,03973088"
35,Medveď - pobytové znaky,2022-04-28 10:00:00,,Stopa,,Nedefinované,"49,25279585","21,96725959"
36,Medveď - pobytové znaky,2022-05-12 10:00:00,,Stopa,,Nedefinované,"49,25290169","21,97735294"
37,Medveď - pobytové znaky,2022-06-29 10:00:00,,Nedefinované,,Nedefinované,"49,01397796","19,97940795"
38,Medveď - vizuálny kontakt,2022-03-08 11:00:00,,Samec,,Nedefinované,"48,52082928","18,51166102"
39,Medveď - pobytové znaky,2022-03-10 11:00:00,,Trus,,Nedefinované,"49,25570701","22,04144348"
40,Medveď - vizuálny kontakt,2022-04-08 10:00:00,,Nedefinované,,Nedefinované,"49,01140589","19,97359255"
41,Medveď - vizuálny kontakt,2022-07-08 10:21:52,,Nedefinované,,Nedefinované,"48,76656035","20,5420479"
42,Medveď - pobytové znaky,2022-07-08 10:29:59,,Nedefinované,,Nedefinované,"48,78256635","20,45702407"
43,Medveď - vizuálny kontakt,2022-07-08 10:32:17,,Nedefinované,,Nedefinované,"48,84431459","20,49089314"
